City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,nantucket,41.2835,-70.0995,8.03000000000003,98,100,6.17,US,1674493481
167,brae,60.3964,-1.353,9.03000000000003,95,100,10.26,GB,1674493482
168,malartic,48.1335,-78.1328,-5.759999999999991,90,94,2.85,CA,1674493483
169,kapoeta,4.7717,33.5903,32.44,22,50,3.17,SS,1674493483
170,arraial do cabo,-22.9661,-42.0278,27.920000000000016,78,75,7.72,BR,1674493484
171,maniitsoq,65.4167,-52.9,-3.9599999999999795,95,100,4.01,GL,1674493485
172,albuquerque,35.0845,-106.6511,4.810000000000002,43,100,20.06,US,1674493365
173,jishou,28.3167,109.7167,4.830000000000041,43,94,4.06,CN,1674493486
174,santa ana,33.7456,-117.8678,14.879999999999995,29,20,5.14,US,1674493486
175,pevek,69.7008,170.3133,-29.23999999999998,86,44,1.05,RU,1674493487
176,bambous virieux,-20.3428,57.7575,23.450000000000045,87,100,1.42,MU,1674493488
177,bengkulu,-3.8004,102.2655,23.400000000000034,94,100,3.82,ID,1674493233
178,acapulco,16.8634,-99.8901,29.900000000000034,45,0,2.57,MX,1674493489
179,mahebourg,-20.4081,57.7,23.470000000000027,86,100,1.66,MU,1674493489
180,saint george,37.1041,-113.5841,2.3600000000000136,47,0,5.14,US,1674493490
181,palmas,-10.2128,-48.3603,30.930000000000007,48,20,2.06,BR,1674493465
182,wajid,3.8093,43.2471,30.600000000000023,29,43,6.24,SO,1674493491
183,thompson,55.7435,-97.8558,-23.659999999999968,88,80,1.94,CA,1674493491
184,boyolangu,-8.1181,111.8935,24.28000000000003,86,69,1.12,ID,1674493492
185,iraray,8.9936,118.0511,25.04000000000002,84,100,3.24,PH,1674493492
186,luanda,-8.8368,13.2343,26.920000000000016,71,86,4.44,AO,1674493229
187,khatanga,71.9667,102.5,-43.40999999999997,97,29,1.95,RU,1674493493
188,uyo,5.0333,7.9266,30.430000000000007,56,23,5.05,NG,1674493494
189,lagunas,-5.2269,-75.6753,27.460000000000036,73,85,1.68,PE,1674493495
190,upernavik,72.7868,-56.1549,-20.539999999999964,93,100,8.04,GL,1674493496
191,haapiti,-17.5667,-149.8667,24.850000000000023,78,100,5.82,PF,1674493496
192,ust-kuyga,70.0167,135.6,-48.319999999999965,100,99,1.5,RU,1674493497
193,terrace,54.5163,-128.6035,1.9500000000000455,100,100,7.72,CA,1674493497
194,cidreira,-30.1811,-50.2056,26.730000000000018,59,5,4.74,BR,1674493498
195,kodiak,57.79,-152.4072,1.7300000000000182,93,75,0.0,US,1674493499
196,san andres,12.5847,-81.7006,30.010000000000048,66,20,6.69,CO,1674493499
197,vila franca do campo,37.7167,-25.4333,15.230000000000018,78,78,6.56,PT,1674493500
198,waitakere,-36.9175,174.6577,17.900000000000034,71,20,0.51,NZ,1674493396
199,coos bay,43.3665,-124.2179,2.740000000000009,100,40,0.0,US,1674493501
200,constitucion,-35.3333,-72.4167,21.170000000000016,60,7,4.89,CL,1674493503
201,olonets,60.9847,32.9698,-10.939999999999998,98,98,1.7,RU,1674493503
202,wloszczowa,50.8526,19.9659,3.0,98,100,3.75,PL,1674493504
203,mosquera,4.7059,-74.2302,16.05000000000001,63,75,5.14,CO,1674493505
204,neuquen,-38.9516,-68.0591,36.120000000000005,12,0,6.9,AR,1674493320
205,imeni poliny osipenko,52.4201,136.4853,-29.039999999999964,98,100,1.55,RU,1674493505
206,hualmay,-11.0964,-77.6139,24.660000000000025,68,21,4.35,PE,1674493506
207,batemans bay,-35.7167,150.1833,14.590000000000032,95,41,1.92,AU,1674493212
208,itarema,-2.9248,-39.9167,29.879999999999995,60,89,5.21,BR,1674493507
209,dvinskoy,62.1535,45.1175,-10.120000000000005,98,94,1.82,RU,1674493508
210,asau,46.4333,26.4,-1.4899999999999523,88,9,1.66,RO,1674493508
211,svolvaer,68.2342,14.5683,3.1000000000000227,48,40,6.69,NO,1674493509
212,moreira sales,-24.0622,-53.0069,30.980000000000018,50,53,2.99,BR,1674493509
213,luena,-11.7833,19.9167,19.620000000000005,74,100,3.48,AO,1674493510
214,rio grande,-32.035,-52.0986,36.06,48,33,5.71,BR,1674493510
215,lompoc,34.6391,-120.4579,10.470000000000027,66,1,2.68,US,1674493371
216,huntsville,34.7304,-86.5861,7.740000000000009,73,40,3.6,US,1674493511
217,payson,40.0444,-111.7321,-3.169999999999959,77,20,2.06,US,1674493512
218,gisborne,-38.6533,178.0042,14.160000000000025,85,90,1.68,NZ,1674493513
219,isangel,-19.55,169.2667,26.470000000000027,87,97,2.15,VU,1674493513
220,kruisfontein,-34.0033,24.7314,29.900000000000034,49,29,1.73,ZA,1674493514
221,keningau,5.3378,116.1602,22.129999999999995,99,99,0.76,MY,1674493514
222,monrovia,6.3005,-10.7969,27.53000000000003,75,100,4.65,LR,1674493515
223,isabela,6.7085,121.9711,24.340000000000032,90,100,1.96,PH,1674493515
224,avera,33.194,-82.5271,11.420000000000016,59,5,7.35,US,1674493516
225,urucara,-2.5364,-57.76,28.54000000000002,72,94,1.93,BR,1674493516
226,cacoal,-11.4386,-61.4472,27.27000000000004,85,100,2.32,BR,1674493517
227,geraldton,-28.7667,114.6,22.230000000000018,83,100,6.69,AU,1674493445
228,ponta do sol,32.6667,-17.1,18.960000000000036,54,16,2.31,PT,1674493518
229,teahupoo,-17.8333,-149.2667,21.980000000000018,82,100,3.0,PF,1674493518
230,chuy,-33.6971,-53.4616,26.689999999999998,50,20,6.72,UY,1674493519
231,longyearbyen,78.2186,15.6401,-2.089999999999975,64,40,6.17,SJ,1674493519
232,tilichiki,60.4667,166.1,-19.109999999999985,88,100,5.23,RU,1674493520
233,carutapera,-1.195,-46.02,25.629999999999995,90,100,3.73,BR,1674493520
234,ancud,-41.8697,-73.8203,17.340000000000032,80,99,8.24,CL,1674493521
235,pangnirtung,66.1451,-65.7125,-27.67999999999998,84,34,2.31,CA,1674493521
236,lasa,46.6166,10.7002,2.230000000000018,94,100,1.49,IT,1674493521
237,huanan,46.2167,130.5167,-34.68999999999997,97,34,2.95,CN,1674493522
238,kedrovyy,56.1667,91.8167,-14.769999999999982,96,100,2.88,RU,1674493522
239,vostok,46.4856,135.8833,-35.50999999999999,100,99,0.85,RU,1674493404
240,kwekwe,-18.9281,29.8149,17.629999999999995,96,100,0.93,ZW,1674493523
